源路径,源文件夹,路由,状态,文件token,源folder_token,目标folder_token,子路径,目标末级子文件夹,时间,错误
3.0 APAC Issues/Stripe Report Data Reorg/.ipynb_checkpoints/StripeData-checkpoint.ipynb,3.0 APAC Issues/Stripe Report Data Reorg/.ipynb_checkpoints,精确映射(知识库),success(事后重建),NJEYbTpudoOyjoxs9XFctNBbnBe,,EDGLfRhtylZQEQd8fErcaM4mnbd,Stripe Report Data Reorg/.ipynb_checkpoints/StripeData-checkpoint.ipynb,知识库/3 APAC Issues/Stripe Report Data Reorg/.ipynb_checkpoints,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Stripe Report Data Reorg/StripeData (冲突_1785202024).ipynb,3.0 APAC Issues/Stripe Report Data Reorg,精确映射(知识库),success(事后重建),BxpvbOS75okX2QxXWp6cxnJJnie,,V3RRfSfG2lLaHcdKci2c2VganJb,Stripe Report Data Reorg/StripeData (冲突_1785202024).ipynb,知识库/3 APAC Issues/Stripe Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Stripe Report Data Reorg/Q1-2025 Stripe Report Raw (冲突_1785202023).xlsx,3.0 APAC Issues/Stripe Report Data Reorg,精确映射(知识库),success(事后重建),Y2nJbPg8UohFYAxQlencCwJonqf,,V3RRfSfG2lLaHcdKci2c2VganJb,Stripe Report Data Reorg/Q1-2025 Stripe Report Raw (冲突_1785202023).xlsx,知识库/3 APAC Issues/Stripe Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Stripe Report Data Reorg/Q1-2025 Stripe Report Raw (冲突_1785202013).csv,3.0 APAC Issues/Stripe Report Data Reorg,精确映射(知识库),success(事后重建),ZWlYbj08ho1l2wxnr5lcwsf0ndb,,V3RRfSfG2lLaHcdKci2c2VganJb,Stripe Report Data Reorg/Q1-2025 Stripe Report Raw (冲突_1785202013).csv,知识库/3 APAC Issues/Stripe Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Stripe Report Data Reorg/StripeData.ipynb,3.0 APAC Issues/Stripe Report Data Reorg,精确映射(知识库),success(事后重建),KoenbQoU9oClZYxNKglcrx1znCd,,V3RRfSfG2lLaHcdKci2c2VganJb,Stripe Report Data Reorg/StripeData.ipynb,知识库/3 APAC Issues/Stripe Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Stripe Report Data Reorg/Q1-2025 Stripe Report Raw.xlsx,3.0 APAC Issues/Stripe Report Data Reorg,精确映射(知识库),success(事后重建),EUPebwI48oSGiMxAYQQcJE1pnDd,,V3RRfSfG2lLaHcdKci2c2VganJb,Stripe Report Data Reorg/Q1-2025 Stripe Report Raw.xlsx,知识库/3 APAC Issues/Stripe Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Stripe Report Data Reorg/Q1-2025 Stripe Report Raw.csv,3.0 APAC Issues/Stripe Report Data Reorg,精确映射(知识库),success(事后重建),H0fob8CnRoPQmUxm3JFcZSm3nih,,V3RRfSfG2lLaHcdKci2c2VganJb,Stripe Report Data Reorg/Q1-2025 Stripe Report Raw.csv,知识库/3 APAC Issues/Stripe Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/CBC Report Data Reorg/.ipynb_checkpoints/CBCData-checkpoint.ipynb,3.0 APAC Issues/CBC Report Data Reorg/.ipynb_checkpoints,精确映射(知识库),success(事后重建),L4RbbKSbFowOL8x8s3qc0IAtnXb,,R36dfoKicltWW3dxsNmcijXInNf,CBC Report Data Reorg/.ipynb_checkpoints/CBCData-checkpoint.ipynb,知识库/3 APAC Issues/CBC Report Data Reorg/.ipynb_checkpoints,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/CBC Report Data Reorg/Q1-2025 CBC Report Raw (冲突_1785202023).xlsx,3.0 APAC Issues/CBC Report Data Reorg,精确映射(知识库),success(事后重建),AMXKbCL8VomBRxx1MkGcERj1nRd,,Rk6uf5g6il9fBcdXDmLcUVO0n0b,CBC Report Data Reorg/Q1-2025 CBC Report Raw (冲突_1785202023).xlsx,知识库/3 APAC Issues/CBC Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/CBC Report Data Reorg/CBCData (冲突_1785202026).ipynb,3.0 APAC Issues/CBC Report Data Reorg,精确映射(知识库),success(事后重建),ZYRobPzJroVBzexRsLhcjELunkd,,Rk6uf5g6il9fBcdXDmLcUVO0n0b,CBC Report Data Reorg/CBCData (冲突_1785202026).ipynb,知识库/3 APAC Issues/CBC Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/CBC Report Data Reorg/Q1-2025 CBC Report Raw (冲突_1785202018).csv,3.0 APAC Issues/CBC Report Data Reorg,精确映射(知识库),success(事后重建),RH76bVpDzoSxhJxkfZicCkY2nLh,,Rk6uf5g6il9fBcdXDmLcUVO0n0b,CBC Report Data Reorg/Q1-2025 CBC Report Raw (冲突_1785202018).csv,知识库/3 APAC Issues/CBC Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/CBC Report Data Reorg/Q1-2025 CBC Report Raw.xlsx,3.0 APAC Issues/CBC Report Data Reorg,精确映射(知识库),success(事后重建),Dx0fbBVv2oz1IhxDBg0c9GfqnZe,,Rk6uf5g6il9fBcdXDmLcUVO0n0b,CBC Report Data Reorg/Q1-2025 CBC Report Raw.xlsx,知识库/3 APAC Issues/CBC Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/CBC Report Data Reorg/Q1-2025 CBC Report Raw.csv,3.0 APAC Issues/CBC Report Data Reorg,精确映射(知识库),success(事后重建),F07Fb0Y8rosne6xKy2bcjJ0jnEZ,,Rk6uf5g6il9fBcdXDmLcUVO0n0b,CBC Report Data Reorg/Q1-2025 CBC Report Raw.csv,知识库/3 APAC Issues/CBC Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/CBC Report Data Reorg/CBCData.ipynb,3.0 APAC Issues/CBC Report Data Reorg,精确映射(知识库),success(事后重建),A38LbwJcMoasi8x0062caHIxnyb,,Rk6uf5g6il9fBcdXDmLcUVO0n0b,CBC Report Data Reorg/CBCData.ipynb,知识库/3 APAC Issues/CBC Report Data Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/InfStones APAC Cayman Restructure Discussion ver 0.04 (冲突_1785202034).pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),CyGEbmtGjoCi6cxdj4ZcEbpDnjg,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/InfStones APAC Cayman Restructure Discussion ver 0.04 (冲突_1785202034).pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/02-27-2024 USDTT Proposal for Restructuring (冲突_1785202032).pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),Ot77bTjj6oTHQWxZbLLcTUpDn7f,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/02-27-2024 USDTT Proposal for Restructuring (冲突_1785202032).pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/InfStones APAC Cayman Restructure Discussion ver 0.02 (冲突_1785202030).pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),LGsebJLnZoLZQoxLUadcCSG6nUh,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/InfStones APAC Cayman Restructure Discussion ver 0.02 (冲突_1785202030).pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/InfStones APAC Cayman Restructure Discussion v4.2.1 (冲突_1785202017).pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),TFRyby2w0olTvVxD7jLcj4TNn3d,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/InfStones APAC Cayman Restructure Discussion v4.2.1 (冲突_1785202017).pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/08-19-2024 SPG ACRA TIKTOK PTE. LTD. file (冲突_1785202022).pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),N3hAbGQjpovQj0xGFtNcB7UhnYb,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/08-19-2024 SPG ACRA TIKTOK PTE. LTD. file (冲突_1785202022).pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/InfStones APAC Cayman Restructure Discussion (冲突_1785202014).pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),LsSJbt3lYoeD2ixQ7HFcd2dVnTg,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/InfStones APAC Cayman Restructure Discussion (冲突_1785202014).pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/08-19-2024 SPG ACRA BYTEDANCE PTE LTD file (冲突_1785202020).pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),CCFib727iopEn6xVEHucGMEHnng,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/08-19-2024 SPG ACRA BYTEDANCE PTE LTD file (冲突_1785202020).pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/InfStones APAC Cayman Restructure Discussion ver 0.03 (冲突_1785202029).pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),KaS8b51f1o1Yn1x2Ezdc0K3Pn6o,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/InfStones APAC Cayman Restructure Discussion ver 0.03 (冲突_1785202029).pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/APAC Cayman Restructure Discussion (冲突_1785202029).pptx,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),AsYJb0ycSoYT3ax5RdkcF4BDnse,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/APAC Cayman Restructure Discussion (冲突_1785202029).pptx,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/InfStones APAC Cayman Restructure Discussion.pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),BdXXbJP2AoZgm1x7g6kcZgeenGb,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/InfStones APAC Cayman Restructure Discussion.pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/InfStones APAC Cayman Restructure Discussion ver 0.04.pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),XfkobiluOoXfi3xHBh9cofPGnve,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/InfStones APAC Cayman Restructure Discussion ver 0.04.pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
3.0 APAC Issues/Structure Reorg/InfStones APAC Cayman Restructure Discussion ver 0.03.pdf,3.0 APAC Issues/Structure Reorg,精确映射(知识库),success(事后重建),CwXgb5EcQou7evxldHAccPr1n6f,,RWQZffYj9loHsSdJTmzcnMUXnhb,Structure Reorg/InfStones APAC Cayman Restructure Discussion ver 0.03.pdf,知识库/3 APAC Issues/Structure Reorg,2026-07-28T01:46(原报告被同日第二批覆盖，此行为迁后目标侧重建),
